"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES"
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2016","       162","E","        91","E","        13","E",,,,,"         0","E","         0","E","         0","E","        94","E","         0","E","1.2","E,0216, ",,,,,"81.6"," ,E,0915, ","31.3","E,0718, ",,,,,,,,,,,,,,,,,,,,,"1262.0"," ,E",,,"14.3","E","18.1","E","10.4","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2017","       162","E","       100","E","         1","E",,,,,"         0","E","         4","E","         0","E","       101","E","         1","E","-1.1","E,0120, ",,,,,"56.8"," ,E,1210, ","32.2","E,1015, ",,,,,,,,,,,"-1.1","E,0120",,,,,,,,,"963.2"," ,E",,,"14.1","E","18.0","E","10.1","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2018","       157","E","        89","E","        11","E",,,,,"         0","E","         2","E","         0","E","        97","E","         0","E","-2.2","E,0228, ",,,,,"53.3"," ,E,1027, ","29.7","E,1012, ",,,,,,,,,,,"-2.2","E,0228","-2.2","E,0228",,,,,,,"1171.7"," ,E",,,"14.1","E","17.9","E","10.4","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2019","       167","E","       101","E","        10","E",,,,,"         0","E","         4","E","         0","E","        87","E","         1","E","-1.4","E,0104, ",,,,,"67.0"," ,E,1216, ","33.0","E,0823, ",,,,,,,,,,,"-0.2","E,0107",,,,,,,,,"1325.2"," ,E",,,"13.8","E","17.6","E","10.0","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2020","       175","E","        92","E","        13","E",,,,,"         0","E","         0","E","         0","E","        99","E","         2","E","1.3","E,0331, ",,,,,"61.4"," ,E,1001, ","33.6","E,0504, ",,,,,,,,,,,,,,,,,,,,,"1251.8"," ,E",,,"14.4","E","18.1","E","10.8","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2021","       156","E","        93","E","        11","E",,,,,"         0","E","         1","E","         0","E","        67","E","         0","E","-0.6","E,0108, ",,,,,"51.4"," ,E,0617, ","31.3","E,0906, ",,,,,,,,,,,"-0.6","E,0108",,,,,,,,,"1204.1"," ,E",,,"13.8","E","17.1","E","10.4","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2022","       143","E","        84","E","         7","E",,,,,"         0","E","         0","E","         0","E","       104","E","         0","E","0.4","E,0405, ",,,,,"42.7"," ,E,0104, ","29.4","E,0713, ",,,,,,,,,,,,,,,,,,,,,"895.7"," ,E",,,"14.6","E","18.2","E","11.0","E",,
"SPE00119792","ASTURIAS AVILES, SP","43.5667","-6.0442","127.0","2023","       163","S","        94","S","         6","S",,,,,,,,,,,,,,,,,,,,,"56.4"," ,S,0116, ",,,,,,,,,,,,,,,,,,,,,,,"1040.3"," ,S",,,,,,,,,,
"SPE00120260","LUGO ROZAS, SP","43.1153","-7.4558","445.0","1951","       180","E","       109","E","         4","E",,,,,,,,,,,,,,,,,,,,,"34.4"," ,E,0828, ",,,,,,,,,,,,,,,,,,,,,,,"971.9"," ,E",,,,,,,,,,
"SPE00120260","LUGO ROZAS, SP","43.1153","-7.4558","445.0","1952","       169","E","       104","E","         2","E",,,,,,,,,,,,,,,,,,,,,"53.2"," ,E,1124, ",,,,,,,,,,,,,,,,,,,,,,,"1027.9"," ,E",,,,,,,,,,
